ensembl_gene_id,gene_symbol,entrez_id,description,rbpworld_family,species,common_name,group,neurons,genome_mb,cell_types,data_source,protein_type,is_canonical
ENSG00000054267,ARID4B,51742,AT-rich interaction domain 4B,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000054523,KIF1B,23095,kinesin family member 1B,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000054654,SYNE2,23224,spectrin repeat containing nuclear envelope protein 2,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000055044,NOP58,51602,NOP58 ribonucleoprotein,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000055130,CUL1,8454,cullin 1,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000055163,CYFIP2,26999,cytoplasmic FMR1 interacting protein 2,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000055208,TAB2,23118,TGF-beta activated kinase 1 (MAP3K7) binding protein 2,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000055332,EIF2AK2,5610,eukaryotic translation initiation factor 2 alpha kinase 2,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000055483,USP36,57602,ubiquitin specific peptidase 36,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000055917,PUM2,23369,pumilio RNA binding family member 2,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000055950,MRPL43,84545,mitochondrial ribosomal protein L43,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000056097,ZFR,51663,zinc finger RNA binding protein,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000056586,RC3H2,54542,ring finger and CCCH-type domains 2,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000057294,PKP2,5318,plakophilin 2,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000057608,GDI2,2665,GDP dissociation inhibitor 2,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000058262,SEC61A1,29927,Sec61 translocon alpha 1 subunit,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000058272,PPP1R12A,4659,protein phosphatase 1 regulatory subunit 12A,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000058673,ZC3H11A,9877,zinc finger CCCH-type containing 11A,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000058729,RIOK2,55781,RIO kinase 2,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000059145,UNKL,64718,unk like zinc finger,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000059378,PARP12,64761,poly(ADP-ribose) polymerase family member 12,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000059573,ALDH18A1,5832,aldehyde dehydrogenase 18 family member A1,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000059588,TARBP1,6894,TAR (HIV-1) RNA binding protein 1,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000059691,GATB,5188,glutamyl-tRNA amidotransferase subunit B,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000060138,YBX3,8531,Y-box binding protein 3,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000060237,WNK1,65125,WNK lysine deficient protein kinase 1,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000060339,CCAR1,55749,cell division cycle and apoptosis regulator 1,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000060491,OGFR,11054,opioid growth factor receptor,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000060688,SNRNP40,9410,small nuclear ribonucleoprotein U5 subunit 40,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000061936,SFSWAP,6433,splicing factor SWAP,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000062370,ZNF112,7771,zinc finger protein 112,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000062485,CS,1431,citrate synthase,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000062582,MRPS24,64951,mitochondrial ribosomal protein S24,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
